feature,importance
total_overdue_days,0.43169832
age_vs_sector_avg,0.19779247
accounts_ever_late,0.1166831
company_size_score,0.06117766
mortgage_per_year,0.04337103
sector_avg_age,0.04136333
has_mortgage_history,0.02814255
conf_stmt_overdue_days,0.015851734
overdue_intensity,0.012509365
is_micro,0.009054563
active_with_mortgages,0.008589958
sic_division,0.0056053004
sector_mortgage_rate,0.0053455513
mortgage_active_ratio,0.0042211795
mortgage_completion_rate,0.0040434934
sector_dormant_rate,0.00391652
num_mortgages_outstanding,0.002701545
has_changed_name,0.002295885
num_mortgages_total,0.0022677921
sector_overdue_rate,0.0020742132
Mortgages.NumMortSatisfied,0.0012944591
overdue_and_active,0.0
is_severely_overdue,0.0
small_and_growing,0.0
has_active_mortgages,0.0
full_accounts_with_charges,0.0
is_small,0.0
is_full_accounts,0.0
Mortgages.NumMortPartSatisfied,0.0
Mortgages.NumMortCharges,0.0
fast_growth_proxy,0.0
log_overdue,0.0
