feature,importance
num_mortgages_outstanding,0.9674625
log_overdue,0.0283289
is_active,0.0037517957
total_overdue_days,0.00029765235
overdue_intensity,0.00012506559
conf_stmt_overdue_days,1.6126058e-05
sector_mortgage_rate,9.329218e-06
num_mortgages_total,8.595515e-06
company_size_score,0.0
mortgage_per_year,0.0
mortgage_completion_rate,0.0
has_mortgage_history,0.0
sector_avg_age,0.0
sector_overdue_rate,0.0
sector_dormant_rate,0.0
age_vs_sector_avg,0.0
is_established,0.0
age_bucket,0.0
is_severely_overdue,0.0
log_company_age,0.0
full_accounts_with_charges,0.0
overdue_and_active,0.0
small_and_growing,0.0
sic_division,0.0
has_changed_name,0.0
is_full_accounts,0.0
is_micro,0.0
is_small,0.0
Mortgages.NumMortCharges,0.0
fast_growth_proxy,0.0
Mortgages.NumMortPartSatisfied,0.0
Mortgages.NumMortSatisfied,0.0
company_age_years,0.0
is_dormant,0.0
accounts_overdue_days,0.0
accounts_ever_late,0.0
