feature,importance
log_overdue,0.9696012
overdue_intensity,0.01768385
log_company_age,0.009286872
is_small,0.00080386514
is_active,0.0004819783
age_vs_sector_avg,0.00044227391
company_size_score,0.00032802977
num_mortgages_outstanding,0.0002664259
sic_division,0.00023382928
sector_mortgage_rate,0.00018702887
sector_dormant_rate,0.00014374474
sector_avg_age,0.00012233751
mortgage_per_year,0.00012040571
has_changed_name,0.000106466374
mortgage_active_ratio,9.629767e-05
is_dormant,9.532489e-05
has_mortgage_history,0.0
mortgage_completion_rate,0.0
age_bucket,0.0
is_severely_overdue,0.0
overdue_and_active,0.0
small_and_growing,0.0
active_with_mortgages,0.0
sector_overdue_rate,0.0
is_established,0.0
is_micro,0.0
is_full_accounts,0.0
full_accounts_with_charges,0.0
has_active_mortgages,0.0
num_mortgages_total,0.0
fast_growth_proxy,0.0
Mortgages.NumMortCharges,0.0
Mortgages.NumMortPartSatisfied,0.0
Mortgages.NumMortSatisfied,0.0
company_age_years,0.0
accounts_overdue_days,0.0
