CompanyNumber,CompanyName,bcb_sector,gdelt_query,article_count,avg_tone,avg_positive_score,avg_negative_score,tone_std,pct_negative,pct_positive
03343304,MAPP DEVELOPMENTS LIMITED,,"""mapp developments"" UK",0,,,,,,
00530614,F.I. BLISS LIMITED,,"""fi bliss"" UK",0,,,,,,
01171023,P. COATES (FARMERS) LIMITED,,"""p coates farmers"" UK",0,,,,,,
10839527,PTC FARMING LIMITED,,"""ptc farming"" UK",0,,,,,,
03738248,CLAIRE AUSTIN HARDY PLANTS LIMITED,,"""claire austin hardy plants"" UK",0,,,,,,
09971725,OLDBURY FARM (GREAT WAKERING) LTD,,"""oldbury farm great wakering"" UK",0,,,,,,
10723386,IRCHESTER LAKES LIMITED,,"""irchester lakes"" UK",0,,,,,,
16868291,KENHARVEST GLOBAL LTD,,"""kenharvest global"" UK",0,,,,,,
14226821,JULIET TANGO LTD,,"""juliet tango"" UK",0,,,,,,
SC512313,RDS FORESTRY LIMITED,,"""rds forestry"" UK",0,,,,,,
02128381,GANNOLEX FARMING LIMITED,,"""gannolex farming"" UK",0,,,,,,
13552762,ADAM ROLLS TREE SERVICES LTD,,"""adam rolls tree services"" UK",0,,,,,,
05226427,STILEGATE STUD LIMITED,,"""stilegate stud"" UK",0,,,,,,
05188264,R REALISATIONS LIMITED,,"""r realisations"" UK",0,,,,,,
11757099,CUSTOM TREE CARE LIMITED,,"""custom tree care"" UK",0,,,,,,
02956506,FER DE LIT LIMITED,,"""fer de lit"" UK",0,,,,,,
06821312,D N QUINN LIMITED,,"""d n quinn"" UK",0,,,,,,
16404512,ENGLEFIELD GREEN LIMITED,,"""englefield green"" UK",0,,,,,,
04472460,SPECIALIST TREE CARE LIMITED,,"""specialist tree care"" UK",0,,,,,,
01474497,IAN S. FERGUSON & SONS LIMITED,,"""ian s ferguson  sons"" UK",0,,,,,,
07785320,FRY FARMING LIMITED,,"""fry farming"" UK",0,,,,,,
07563773,IJ AGRICULTURAL FENCING SERVICES LTD,,"""ij agricultural fencing services"" UK",0,,,,,,
06457050,CLIFFE FARMS LIMITED,,"""cliffe farms"" UK",0,,,,,,
07190549,CERTAINLY TREES LIMITED,,"""certainly trees"" UK",0,,,,,,
12903017,LANGDON FISHING LIMITED,,"""langdon fishing"" UK",0,,,,,,
11802262,HAPPY DOGS LTD,,"""happy dogs"" UK",0,,,,,,
13387311,C&S CROSBIE LTD,,"""cs crosbie"" UK",0,,,,,,
SC361217,BLAVEN FISHING COMPANY LIMITED,,"""blaven fishing company"" UK",0,,,,,,
11784552,WILLIS PEST CONTROL LTD,,"""willis pest control"" UK",0,,,,,,
12456110,NLHC LTD,,"""nlhc"" UK",0,,,,,,
11822999,DARTINGTON MILL CIC,,"""dartington mill cic"" UK",0,,,,,,
16862807,DIXON DEER MANAGEMENT LTD,,"""dixon deer management"" UK",0,,,,,,
10740798,PORTHYWAEN FARM SUPPLIES LIMITED,,"""porthywaen farm supplies"" UK",0,,,,,,
SC437414,SUMMER ROSE FISHING COMPANY LTD,,"""summer rose fishing company"" UK",0,,,,,,
SC494097,A J THIRD LTD,,"""a j third"" UK",0,,,,,,
08868048,KINGSLAKE HOLIDAYS LIMITED,,"""kingslake holidays"" UK",0,,,,,,
00580768,S.ROBERTS & SONS LIMITED,,"""sroberts  sons"" UK",0,,,,,,
14681932,KINGS MONSTER CARP BAITS LTD,,"""kings monster carp baits"" UK",0,,,,,,
02825568,OTHNIEL SHELLFISH LIMITED,,"""othniel shellfish"" UK",0,,,,,,
