feature,growth_shap,risk_shap,lending_shap,total_shap
num_mortgages_outstanding,0.002766736,0.030644817,9.073822,9.107234
age_vs_sector_avg,5.0516443,0.49787924,0.0,5.5495234
log_overdue,0.0,4.7666025,0.20998688,4.976589
overdue_intensity,0.29187372,2.5264142,0.23031166,3.0485995
log_company_age,0.0,3.0232866,0.0,3.0232866
total_overdue_days,1.6842939,0.0,0.7959059,2.4801998
sector_avg_age,1.1073508,0.020325609,0.0,1.1276765
mortgage_active_ratio,1.0362159,0.0005640005,0.0,1.0367799
sic_division,0.32174554,0.14843994,0.0,0.4701855
accounts_ever_late,0.3545179,0.0,0.0,0.3545179
is_active,0.0,0.02761963,0.2740707,0.30169034
active_with_mortgages,0.1343198,0.0,0.0,0.1343198
company_size_score,0.08664009,0.030253606,0.0,0.116893694
conf_stmt_overdue_days,0.08450668,0.0,0.0303293,0.114835985
mortgage_completion_rate,0.049957234,0.0,0.0,0.049957234
